County,City,ZIP_Code
Carroll,Bringhurst,46913
Miami,Bunker Hill,46914
Carroll,Burlington,46915
Carroll,Burrows,46916
Carroll,Camden,46917
Grant,Converse,46919
Carroll,Cutler,46920
Miami,Deedsville,46921
Fulton,Delong,46922
Carroll,Delphi,46923
Miami,Denver,46926
Grant,Fairmount,46928
Carroll,Flora,46929
Grant,Fowlerton,46930
Fulton,Fulton,46931
Cass,Galveston,46932
Grant,Gas City,46933
Fulton,Grass Creek,46935
Howard,Greentown,46936
Howard,Hemlock,46937
Grant,Jonesboro,46938
Fulton,Kewanna,46939
Wabash,La Fontaine,46940
Wabash,Lagro,46941
Cass,Lake Cicott,46942
Wabash,Laketon,46943
Fulton,Leiters Ford,46945
Wabash,Liberty Mills,46946
Cass,Logansport,46947
Cass,Lucerne,46950
Miami,Macy,46951
Grant,Marion,46952
Grant,Marion,46953
Grant,Matthews,46957
Miami,Mexico,46958
Miami,Miami,46959
Pulaski,Monterey,46960
Cass,New Waverly,46961
Wabash,North Manchester,46962
Howard,Oakford,46965
Cass,Onward,46967
Starke,Ora,46968
Miami,Peru,46970
Miami,Grissom Arb,46971
Wabash,Roann,46974
Fulton,Rochester,46975
Carroll,Rockfield,46977
Cass,Royal Center,46978
Howard,Russiaville,46979
Wabash,Servia,46980
Kosciusko,Silver Lake,46982
Wabash,Somerset,46984
Pulaski,Star City,46985
Grant,Swayzee,46986
Grant,Sweetser,46987
Cass,Twelve Mile,46988
Grant,Upland,46989
Wabash,Urbana,46990
Grant,Van Buren,46991
Wabash,Wabash,46992
Cass,Walton,46994
Howard,West Middleton,46995
Pulaski,Winamac,46996
Cass,Young America,46998
Dearborn,Aurora,47001
Union,West College Corner,47003
Ripley,Batesville,47006
Franklin,Bath,47010
Switzerland,Bennington,47011
Franklin,Brookville,47012
Franklin,Cedar Grove,47016
Ripley,Cross Plains,47017
Dearborn,Dillsboro,47018
Switzerland,East Enterprise,47019
Switzerland,Florence,47020
Ripley,Friendship,47021
Dearborn,Guilford,47022
Ripley,Holton,47023
Franklin,Laurel,47024
Dearborn,Lawrenceburg,47025
Franklin,Metamora,47030
Ripley,Milan,47031
Dearborn,Moores Hill,47032
Ripley,Morris,47033
Ripley,Napoleon,47034
Franklin,New Trenton,47035
Franklin,Oldenburg,47036
Ripley,Osgood,47037
Switzerland,Patriot,47038
Ripley,Pierceville,47039
Ohio,Rising Sun,47040
Ripley,Sunman,47041
Ripley,Versailles,47042
Switzerland,Vevay,47043
Dearborn,West Harrison,47060
Scott,Austin,47102
Clark,Bethlehem,47104
Clark,Borden,47106
Harrison,Bradford,47107
Washington,Campbellsburg,47108
Harrison,Central,47110
Clark,Charlestown,47111
Harrison,Corydon,47112
Harrison,Crandall,47114
Harrison,Depauw,47115
Crawford,Eckerty,47116
Harrison,Elizabeth,47117
Crawford,English,47118
Floyd,Floyds Knobs,47119
Washington,Fredericksburg,47120
Floyd,Georgetown,47122
Crawford,Grantsburg,47123
Floyd,Greenville,47124
Orange,Hardinsburg,47125
Clark,Henryville,47126
Clark,Clarksville,47129
Clark,Jeffersonville,47130
Clark,Jeffersonville,47131
Clark,Jeffersonville,47132
Clark,Jeffersonville,47133
Clark,Jeffersonville,47134
Harrison,Laconia,47135
Harrison,Lanesville,47136
Crawford,Leavenworth,47137
Scott,Lexington,47138
Washington,Little York,47139
Crawford,Marengo,47140
Clark,Marysville,47141
Harrison,Mauckport,47142
Clark,Memphis,47143
Clark,Jeffersonville,47144
Crawford,Milltown,47145
